arrayD1,arrayD2,arrayD3,arrayD4,arrayD5,arrayD6,arrayD7,arrayD8,arrayD9,arrayD10,arrayD11,arrayD12,arrayD13,arrayD14,arrayD15,arrayD16,arrayD17,arrayD18,arrayD19,arrayD20,arrayD21,arrayD22,arrayD23,arrayD24,arrayD25,arrayD26,arrayD27,arrayD28,arrayD29,arrayD30,arrayD31,arrayD32,arrayD33,arrayD34,arrayD35,arrayD36,arrayD37,arrayD38,arrayD39,arrayD40,arrayD41,arrayD42,arrayD43,arrayD44,arrayD45,arrayD46,arrayD47,arrayD48,arrayD49,arrayD50,arrayD51,arrayD52,arrayD53,arrayD54,arrayD55,Target
0,0.0,1108,0,0,0,0,0,88.72,0,3,4,0,0,17,16,14,0,90,33.1,47.9,42.2,61.4,60.3,63.0,62.9,63.3,62.3,62.7,58.3,47.4,32.6,30.0,43.0,37.9,15.8,44.5,38.9,43.5,43.5,43.3,44.2,49.1,51.9,43.7,38.2,40.5,43.4,0,0,52.6,45.8,16.3,1,1,42.0
12,48.12,1140,3357,16,3203,151,2799,88.37,1000,674,677,-144,-142,854,361,384,249,351,69.3,77.9,75.5,80.2,68.4,93.5,92.2,93.4,92.5,92.4,90.6,67.5,49.3,52.6,63.4,57.5,165.3,476.0,465.5,451.2,460.1,449.3,493.6,479.8,466.9,469.5,467.1,484.5,498.2,-27436,0,498.2,498.4,28.3,52,53,75.5
5,81.24,1043,1137,9,1081,70,900,89.42,718,490,492,-31,-38,630,203,241,138,140,66.9,76.2,74.8,80.1,63.6,90.2,89.0,90.1,89.0,89.2,88.2,60.1,55.5,49.8,53.1,55.6,116.3,458.9,425.9,441.6,435.8,428.5,465.7,448.4,446.7,440.7,446.7,453.5,469.5,18570,0,493.0,489.2,28.3,40,41,72.9
2,2.04,933,136,5,125,37,45,90.61,480,348,349,2,5,446,95,115,56,94,58.6,62.4,70.5,72.1,56.3,68.7,68.3,69.2,67.9,68.7,71.5,54.7,48.6,48.2,47.9,52.4,-4.4,196.2,187.2,188.2,175.2,166.7,237.7,201.4,163.5,164.9,209.2,221.2,228.7,5160,0,240.1,230.1,22.1,1,0,71.3
0,0.0,917,30,3,26,22,0,90.79,400,262,263,-3,-5,346,56,99,31,93,61.2,63.3,70.5,72.6,58.1,68.2,68.1,68.5,67.6,68.2,69.7,57.9,35.7,52.0,51.6,54.4,-7.6,128.7,109.6,107.5,113.1,87.1,183.3,125.8,99.1,101.7,129.7,158.8,164.6,3330,0,148.4,135.8,15.3,1,0,70.5
0,0.0,984,30,3,26,22,0,90.05,400,256,256,-3,-4,339,89,102,55,92,62.0,64.1,71.2,72.6,61.8,68.7,68.4,69.0,67.9,68.7,71.0,60.7,59.8,54.8,54.5,57.0,3.3,136.8,131.4,115.5,125.9,101.9,176.3,125.9,103.3,107.1,134.4,158.6,167.4,3330,0,149.2,143.2,22.5,1,0,71.4
0,0.0,996,32,3,27,23,0,89.93,400,266,266,-3,-1,350,86,99,50,92,60.4,62.9,70.5,71.8,59.4,67.9,67.6,68.2,67.2,67.9,70.2,58.8,57.4,52.7,52.4,55.2,7.4,138.4,131.1,114.9,123.3,99.2,177.2,132.6,100.3,104.7,133.3,158.6,164.8,3240,0,145.0,141.1,24.1,1,1,71.0
0,83.61,997,43,3,37,26,0,89.91,400,262,263,-1,3,346,79,92,48,92,59.1,66.0,68.6,71.1,55.8,72.4,71.9,72.7,71.5,72.3,74.3,50.1,60.4,42.4,42.7,51.4,17.7,166.6,156.6,133.8,147.1,131.5,193.7,157.8,130.1,128.3,157.2,175.0,191.5,3780,0,217.2,213.2,32.4,1,0,68.8
12,64.44,934,3315,16,3163,147,2799,90.61,1001,672,676,-144,-142,853,354,361,241,348,68.8,77.7,75.4,80.1,68.6,92.4,91.1,92.5,91.3,91.5,89.9,67.5,62.5,52.8,63.3,57.6,162.2,481.4,445.9,458.6,460.1,439.7,489.3,480.4,461.9,465.1,472.4,478.5,493.8,-28096,0,500.4,499.0,30.1,51,53,75.5
0,0.0,935,0,0,0,0,0,90.61,0,2,5,-1,0,21,38,36,18,92,65.2,63.1,69.7,73.6,66.8,65.6,65.4,65.7,64.8,65.7,66.4,62.1,58.4,54.1,56.2,55.5,13.6,90.7,90.2,85.9,88.2,83.4,93.1,96.9,85.5,78.5,80.5,90.5,92.1,0,0,154.4,143.2,26.3,1,1,69.5
0,50.89,1018,42,3,37,22,0,89.71,400,257,257,-1,-2,339,66,79,33,91,62.6,64.5,55.7,57.4,58.8,69.9,69.7,70.3,69.2,69.9,71.5,59.6,54.8,53.6,53.3,55.9,11.8,142.4,131.7,115.8,128.9,107.1,178.5,138.2,103.9,107.7,138.2,158.7,166.6,3390,0,144.9,143.7,23.0,1,1,56.7
0,72.51,988,41,3,36,22,0,90.04,401,281,281,2,5,371,65,78,32,92,58.3,61.2,45.5,48.1,52.8,67.5,67.1,67.8,66.7,67.4,69.4,52.1,47.0,45.4,45.2,49.6,5.6,195.2,191.8,184.6,192.5,159.7,245.0,204.8,175.7,172.9,206.9,224.0,235.8,3600,0,209.6,204.3,13.9,1,0,45.0
0,0.0,1078,34,3,30,25,0,89.05,401,368,369,1,3,488,68,82,34,90,46.7,49.0,49.5,50.6,43.5,56.8,56.7,57.1,56.3,56.5,56.9,42.2,30.3,35.2,35.1,37.8,12.0,132.5,110.9,103.4,122.5,91.9,189.9,135.6,102.7,106.5,134.1,151.8,173.7,2970,0,139.9,130.5,20.7,1,0,50.2
2,79.93,1003,411,6,387,50,300,89.86,554,369,371,-3,2,478,143,168,94,106,65.6,68.6,72.4,74.6,62.3,76.5,76.2,77.4,76.4,76.7,78.6,64.4,59.2,58.5,58.4,60.3,81.4,410.8,392.7,380.5,377.9,361.4,422.3,409.5,377.8,384.3,401.5,412.7,425.6,10560,0,442.5,429.4,34.0,39,39,71.4
12,76.81,1062,3367,16,3213,164,2800,89.22,1001,659,660,-144,-144,836,355,357,250,347,70.5,78.6,76.2,81.0,70.8,92.6,91.4,92.7,91.6,91.8,90.7,69.9,67.2,54.9,66.1,59.6,165.5,494.6,473.0,477.4,475.5,459.6,501.5,493.9,479.7,478.8,481.2,496.4,509.4,-27616,0,513.8,509.5,36.8,60,61,75.6
0,14.75,997,30,3,25,24,0,89.92,404,268,270,1,4,356,77,91,43,92,59.5,64.5,69.3,71.2,57.3,69.5,69.3,69.8,68.7,69.6,71.2,53.6,60.7,46.8,46.5,52.8,12.3,198.5,186.6,172.6,176.9,159.7,230.7,192.5,157.2,161.2,186.2,206.5,218.1,3660,0,202.1,196.9,28.3,1,1,70.2
0,27.19,991,200,4,188,29,0,89.98,404,262,263,-1,-2,381,85,100,49,97,59.3,65.2,69.8,74.1,56.3,70.9,70.5,71.4,70.1,70.9,73.1,50.6,54.4,42.2,43.0,51.7,2.3,367.1,352.8,347.8,342.8,344.8,391.5,352.6,336.7,333.2,369.2,371.2,384.8,6180,0,391.5,379.1,28.2,31,33,67.6
0,0.0,983,30,3,25,22,0,90.05,400,249,251,2,4,330,77,90,42,92,63.4,65.6,71.9,73.1,60.9,70.1,69.8,70.4,69.3,70.1,71.8,60.6,49.7,54.8,54.4,57.1,0.9,133.3,122.7,108.7,121.3,91.7,177.9,124.0,101.4,102.7,129.1,156.9,161.0,3300,0,142.8,138.5,19.8,1,0,72.0
