arrayD1,arrayD2,arrayD3,arrayD4,arrayD5,arrayD6,arrayD7,arrayD8,arrayD9,arrayD10,arrayD11,arrayD12,arrayD13,arrayD14,arrayD15,arrayD16,arrayD17,arrayD18,arrayD19,arrayD20,arrayD21,arrayD22,arrayD23,arrayD24,arrayD25,arrayD26,arrayD27,arrayD28,arrayD29,arrayD30,arrayD31,arrayD32,arrayD33,arrayD34,arrayD35,arrayD36,arrayD37,arrayD38,arrayD39,arrayD40,arrayD41,arrayD42,arrayD43,arrayD44,arrayD45,arrayD46,arrayD47,arrayD48,arrayD49,arrayD50,arrayD51,arrayD52,arrayD53,arrayD54,arrayD55,Target
0,0.0,1049,0,0,0,0,0,89.37,0,2,4,-1,0,18,25,23,6,91,41.5,51.2,48.3,65.0,64.8,64.4,64.4,64.8,63.9,64.3,60.7,53.4,47.5,38.3,50.9,48.8,28.9,53.1,48.5,52.1,53.0,51.6,52.5,55.5,58.3,50.0,46.2,48.8,48.8,0,0,62.1,58.1,28.7,1,1,48.1
0,0.0,992,28,3,23,19,0,89.98,400,253,254,2,5,336,86,99,51,91,62.4,64.8,71.2,72.2,61.3,69.5,69.3,69.9,68.8,69.6,71.6,60.8,55.5,54.9,54.6,57.4,3.4,129.8,120.8,116.5,130.3,96.1,171.0,126.4,106.9,113.2,143.3,157.7,160.0,3270,0,148.4,143.4,22.0,1,0,71.4
0,83.59,1041,37,3,33,23,0,89.43,421,259,259,1,1,335,89,102,56,95,61.0,70.2,72.4,78.2,55.9,81.0,80.4,81.6,80.0,80.6,81.4,51.8,55.8,42.4,44.1,50.4,49.9,419.4,383.6,398.6,396.0,405.4,439.7,402.6,412.5,403.7,426.5,427.9,445.8,5640,0,442.7,427.4,28.3,31,31,70.5
0,0.0,1029,33,3,28,24,0,89.56,400,267,268,-3,-4,351,72,84,37,91,60.4,62.5,64.0,65.2,58.2,67.8,67.6,68.2,67.1,67.9,69.8,57.0,40.5,50.6,50.5,53.5,0.6,122.0,110.2,105.1,116.9,88.5,173.1,114.7,97.2,106.1,134.4,150.7,155.6,3270,0,138.3,129.7,21.9,1,0,64.3
0,0.0,1098,27,3,22,19,0,88.82,400,249,247,-1,0,325,88,101,54,91,64.4,66.2,67.1,68.3,63.7,71.0,70.7,71.3,70.3,71.1,72.9,63.8,57.8,58.0,57.8,59.9,-0.2,129.9,120.0,114.0,126.6,96.6,167.0,123.3,104.1,112.6,142.1,159.3,157.7,3300,0,148.8,138.7,22.6,1,1,67.6
0,0.0,1081,27,3,23,19,0,89.01,400,248,249,-2,-3,329,91,104,56,91,63.8,65.6,72.1,73.2,63.3,69.8,69.6,70.2,69.1,69.9,71.7,62.8,59.3,57.0,56.7,58.9,7.7,131.4,123.4,117.8,125.6,100.0,168.8,131.7,109.2,113.4,143.8,157.7,160.5,3270,0,141.7,137.6,25.5,1,1,72.1
0,71.57,1106,40,3,35,21,0,88.73,400,262,262,4,4,345,86,99,51,90,61.0,64.0,70.5,72.1,59.1,68.8,68.6,69.2,68.1,68.9,70.9,57.6,58.3,51.1,50.9,55.2,10.7,156.7,143.3,140.8,142.7,126.2,195.7,151.5,125.3,127.0,155.7,178.0,183.3,3450,0,171.2,165.6,29.3,1,1,70.3
12,72.53,1095,3231,16,3083,73,2801,88.86,1000,700,702,-143,-142,887,357,428,245,350,67.1,69.5,73.8,75.5,69.0,77.7,77.3,78.8,77.9,78.1,79.5,72.3,64.1,62.0,67.7,62.6,135.9,439.9,418.8,416.7,412.9,401.9,451.2,451.3,423.4,418.0,439.7,443.2,458.9,-27436,0,485.6,476.0,32.1,31,32,74.8
0,0.0,1029,0,0,0,0,0,89.57,0,2,4,-1,0,17,22,20,3,91,39.6,53.3,48.3,65.7,65.2,65.3,65.1,65.5,64.5,65.1,62.5,50.7,44.2,36.6,47.9,47.3,22.2,52.2,47.5,51.2,51.5,52.2,52.9,55.2,58.7,51.0,46.9,49.4,50.1,0,0,71.1,65.0,24.2,1,1,48.3
12,81.7,1074,3442,17,3285,153,2799,89.11,1000,661,664,-144,-139,842,359,375,255,349,69.7,78.6,74.8,79.5,69.2,93.9,92.6,93.7,92.7,92.8,91.3,68.2,57.3,53.2,64.3,58.0,164.7,480.2,461.1,458.9,461.8,458.4,497.9,484.8,476.6,474.5,481.7,490.7,504.4,-27196,0,512.7,499.0,29.8,61,60,74.7
2,73.78,1101,374,5,353,21,300,88.82,480,326,327,2,4,422,101,120,61,95,62.5,65.3,54.5,57.4,60.3,70.7,70.5,71.1,70.0,70.7,72.5,60.0,55.5,53.9,53.5,57.3,4.4,189.5,193.8,180.0,183.7,154.7,233.1,200.2,159.1,165.8,196.3,215.8,219.4,7050,0,259.4,248.4,20.0,1,0,54.1
0,0.0,1094,31,3,26,22,0,88.87,400,260,260,0,-1,343,88,101,52,90,61.0,65.2,69.3,72.9,59.8,69.8,69.6,70.2,69.2,69.9,71.6,54.1,49.4,45.5,46.7,54.8,1.9,130.2,113.4,110.3,125.2,96.5,180.4,124.1,104.7,107.5,139.8,157.4,161.5,3240,0,143.6,137.2,22.3,32,33,67.8
6,73.18,1202,1314,10,1250,52,1100,87.75,760,580,581,-34,-46,735,218,271,148,146,62.1,67.8,72.4,75.5,56.3,77.1,76.7,78.0,76.6,76.9,79.5,55.2,63.7,47.1,48.2,54.6,46.8,445.9,427.5,422.8,422.5,421.7,477.0,438.3,431.8,439.8,447.0,459.6,477.3,20880,0,543.8,506.7,20.0,31,33,73.8
0,15.99,1180,102,3,94,28,0,87.94,414,260,261,2,2,344,85,100,49,91,63.3,66.5,69.8,73.6,61.3,71.2,71.0,71.6,70.5,71.3,73.1,56.3,46.5,48.0,49.3,55.5,2.7,163.2,157.2,152.0,152.1,121.8,204.2,164.7,129.9,139.4,168.9,181.0,189.2,4800,0,196.4,187.4,24.5,33,33,67.6
12,69.23,1093,3244,16,3096,75,2799,88.84,1000,716,717,-144,-143,911,349,429,234,350,63.0,69.0,72.8,75.5,60.7,80.4,79.7,81.2,80.3,80.5,81.6,62.5,57.0,51.0,56.8,54.9,132.0,428.7,420.3,401.4,399.8,390.9,442.9,438.9,407.7,407.0,418.8,435.7,438.8,-27856,0,473.0,463.7,22.1,31,32,75.2
4,81.59,1111,874,7,830,37,700,88.69,640,478,478,-8,-3,613,164,201,109,115,60.0,68.5,71.9,76.9,52.5,79.5,78.8,80.3,78.6,79.1,81.1,48.9,55.9,39.9,41.1,49.8,27.5,457.6,431.6,437.2,427.1,430.6,468.0,450.9,442.3,442.6,444.0,461.7,469.9,14400,0,538.3,522.7,23.8,33,34,71.9
2,0.11,1053,90,4,82,31,2,89.31,463,305,307,3,6,361,96,112,59,91,62.4,66.2,69.9,73.6,61.8,70.7,70.5,71.0,70.0,70.8,72.3,57.0,54.4,48.7,49.9,56.8,-0.4,140.2,129.1,127.6,133.8,106.4,183.0,130.6,111.2,119.2,145.8,167.1,172.7,4230,0,164.5,153.2,23.0,32,33,68.8
0,0.0,1042,27,3,23,20,0,89.44,400,276,278,2,5,366,52,99,30,91,58.3,60.5,67.0,68.8,55.1,65.9,65.7,66.2,65.2,65.9,67.7,54.6,37.0,48.4,48.2,51.1,-0.8,124.3,104.0,110.2,121.2,85.5,178.4,117.0,96.1,107.8,138.2,154.0,157.1,3240,0,145.9,135.5,19.8,1,0,67.1
0,0.0,1123,32,3,27,23,0,88.55,400,245,244,2,4,323,94,107,60,90,64.7,66.4,72.4,73.9,64.7,70.6,70.3,70.9,69.8,70.7,72.9,64.0,64.0,58.2,58.0,60.0,6.0,136.2,131.3,121.5,136.8,100.8,176.2,125.6,110.5,117.0,147.0,167.4,170.8,3390,0,152.2,143.5,24.8,1,1,70.2
12,81.94,1134,3402,17,3247,121,2801,88.44,1000,672,675,-144,-144,852,361,384,247,350,68.8,77.1,75.6,80.3,69.0,91.9,90.7,92.0,90.9,91.0,89.3,68.3,58.0,53.8,64.4,58.1,175.7,474.9,454.1,455.8,455.3,446.1,499.0,482.2,468.8,467.7,479.8,483.3,498.5,-27286,0,510.1,504.4,31.8,53,54,74.0
1,7.09,1088,169,4,158,25,79,88.94,395,240,240,1,3,319,89,102,55,91,64.3,66.4,72.7,74.1,64.4,70.5,70.2,70.9,69.7,70.6,72.6,63.5,64.8,57.6,57.4,59.6,8.2,162.2,156.8,146.3,152.2,125.4,202.3,162.6,131.5,131.8,166.6,184.2,192.0,4110,0,174.0,167.6,29.7,95,94,69.8
0,0.0,1077,30,3,25,21,0,89.05,400,260,260,-2,-5,343,77,90,42,91,61.2,64.8,69.3,70.5,55.8,70.0,69.9,70.4,69.4,70.1,71.8,53.5,41.3,47.0,46.6,51.7,-2.4,129.5,107.8,108.9,119.0,90.9,175.7,116.1,99.3,105.8,137.3,151.8,156.4,3330,0,145.4,137.7,22.3,1,0,69.5
12,73.26,1177,3299,16,3148,118,2802,87.95,1001,682,683,-144,-143,864,352,362,248,346,67.8,77.3,75.2,80.0,65.5,91.2,90.1,91.3,90.0,90.2,89.1,64.6,59.5,50.0,60.1,55.4,134.4,464.3,435.5,445.4,439.7,439.7,472.8,463.8,457.1,450.8,461.4,462.8,481.6,-26596,0,510.9,497.9,30.1,51,51,75.7
6,76.81,1146,1308,10,1245,45,1101,88.31,760,580,582,-36,-20,735,211,259,143,147,61.4,69.7,73.1,77.5,55.3,80.8,80.3,81.7,80.2,80.4,82.2,53.4,56.5,44.4,46.1,50.8,53.0,467.8,446.1,449.9,446.7,455.8,483.1,449.8,457.5,460.6,463.3,481.4,499.3,21210,0,556.3,522.3,27.0,34,36,73.1
0,0.16,1226,27,3,23,19,0,87.44,400,264,264,2,4,350,81,94,46,89,60.2,63.1,69.9,71.2,59.1,68.1,67.9,68.5,67.4,68.2,70.4,58.0,46.3,52.0,51.6,54.9,-3.2,122.4,110.3,109.5,121.6,92.8,170.7,118.7,99.3,103.2,131.4,153.0,153.7,3150,0,138.8,130.2,16.1,1,0,70.2
8,86.14,1318,1838,11,1752,63,1500,86.49,840,625,623,-63,-59,790,261,315,180,205,64.0,71.4,74.5,78.3,58.8,83.8,83.1,84.6,83.3,83.5,84.3,58.9,59.8,49.0,52.4,53.7,97.7,440.5,413.3,430.0,423.6,415.2,456.2,439.3,436.9,424.0,439.1,444.6,463.2,28020,0,498.7,486.5,33.3,45,46,74.5
12,82.31,1198,3380,17,3225,106,2798,87.76,1000,688,690,-144,-143,873,358,372,251,348,67.5,74.5,75.5,79.6,68.5,88.3,87.2,88.7,87.6,87.7,87.1,68.0,62.2,53.9,64.2,57.7,163.1,478.1,459.2,461.3,461.0,454.8,493.2,478.6,472.6,468.5,481.0,489.2,498.2,-27346,0,508.4,496.6,32.7,46,47,75.5
